U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.3	0.0
0.6	0.0
0.8	0.0
1.0	0.0
1.2	0.0
1.4	0.0
1.5	0.0
1.8	0.0
2.0	0.0
2.1	0.0
2.4	0.0
2.5	0.0
2.8	0.0
3.0	0.0
3.1	0.0
3.3	0.0
3.5	0.0
3.7	0.0
3.9	0.0
4.2	0.0
4.3	0.0
4.6	0.0
4.7	0.0
5.0	0.0
5.1	0.0
5.3	0.0
5.5	0.0
5.7	0.0
5.9	0.1
6.1	0.1
6.3	0.1
6.5	0.1
6.7	0.1
6.9	0.1
7.1	0.1
7.4	0.1
7.5	0.1
7.7	0.1
7.9	0.1
8.1	0.1
8.3	0.1
8.5	0.1
8.7	0.1
8.9	0.1
9.1	0.1
9.3	0.1
9.5	0.1
9.7	0.1
9.9	0.1
10.1	0.1
10.3	0.1
10.5	0.2
10.6	0.2
10.9	0.2
11.0	0.3
11.2	0.3
11.4	0.4
11.7	0.4
11.9	0.4
12.0	0.4
12.2	0.4
12.4	0.4
12.6	0.4
12.9	0.3
13.0	0.3
13.2	0.3
13.4	0.2
13.6	0.2
13.8	0.2
14.1	0.2
14.2	0.2
14.4	0.2
14.6	0.3
14.8	0.3
15.0	0.3
15.2	0.4
15.4	0.5
15.6	0.5
15.8	0.7
16.0	0.8
16.2	0.9
16.4	1.0
16.6	1.1
16.8	1.1
17.0	1.0
17.2	0.9
17.4	0.8
17.6	0.7
17.8	0.6
18.0	0.5
18.2	0.4
18.4	0.3
18.6	0.3
18.9	0.3
19.0	0.3
19.2	0.3
19.4	0.4
19.6	0.5
19.7	0.6
19.9	0.7
20.2	0.9
20.3	1.0
20.5	1.2
20.8	1.5
20.9	1.7
21.1	2.0
21.3	2.2
21.6	2.2
21.8	2.1
22.0	1.9
22.2	1.7
22.3	1.5
22.5	1.2
22.7	1.0
22.9	0.8
23.1	0.6
23.3	0.5
23.5	0.5
23.7	0.5
23.9	0.5
24.1	0.6
24.4	0.7
24.5	0.8
24.7	1.1
24.9	1.3
25.1	1.5
25.3	1.9
25.6	2.2
25.7	2.6
25.9	3.0
26.1	3.4
26.3	3.7
26.5	3.7
26.7	3.5
26.9	3.2
27.1	2.8
27.3	2.4
27.5	2.0
27.7	1.6
27.9	1.3
28.1	1.0
28.3	0.9
28.5	0.8
28.7	0.8
28.9	0.8
29.1	1.0
29.2	1.1
29.5	1.4
29.7	1.7
29.9	2.0
30.1	2.4
30.3	2.9
30.4	3.5
30.6	4.0
30.8	4.6
31.0	5.1
31.2	5.5
31.5	5.6
31.8	5.4
31.8	5.1
32.0	4.7
32.2	4.1
32.4	3.5
32.7	2.9
32.8	2.4
33.1	1.9
33.2	1.7
33.4	1.5
33.6	1.4
33.8	1.4
34.0	1.6
34.2	1.8
34.4	2.1
34.6	2.6
34.8	3.0
35.0	3.7
35.2	4.4
35.4	5.2
35.6	6.1
35.8	6.9
36.0	7.7
36.2	8.2
36.4	8.6
36.6	8.6
36.8	8.4
37.0	7.8
37.2	7.1
37.4	6.4
37.6	5.6
37.8	4.8
38.0	4.1
38.2	3.6
38.4	3.2
38.6	2.9
38.8	2.9
39.0	3.0
39.2	3.3
39.4	3.7
39.6	4.4
39.8	5.1
40.0	6.1
40.2	7.2
40.4	8.3
40.6	9.8
40.8	11.1
41.0	11.2
41.1	11.3
41.3	11.2
