U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.4	0.0
0.2	0.0
0.4	0.0
0.7	0.0
0.9	0.0
1.1	0.0
1.2	0.0
1.5	0.0
1.6	0.0
1.8	0.0
2.1	0.0
2.2	0.0
2.4	0.0
2.6	0.0
2.9	0.0
3.0	0.0
3.2	0.0
3.4	0.0
3.6	0.0
3.8	0.0
4.0	0.0
4.3	0.0
4.4	0.0
4.7	0.0
4.8	0.0
5.0	0.0
5.2	0.0
5.4	0.0
5.6	0.0
5.8	0.0
6.0	0.0
6.2	0.0
6.4	0.0
6.6	0.0
6.8	0.0
7.0	0.1
7.2	0.1
7.4	0.1
7.6	0.1
7.8	0.1
8.0	0.1
8.2	0.1
8.4	0.1
8.6	0.1
8.8	0.1
8.9	0.1
9.2	0.1
9.4	0.1
9.6	0.1
9.8	0.1
9.9	0.1
10.1	0.1
10.3	0.1
10.5	0.1
10.8	0.1
11.0	0.1
11.2	0.2
11.3	0.2
11.6	0.2
11.8	0.3
11.9	0.3
12.1	0.3
12.3	0.3
12.5	0.2
12.7	0.3
12.9	0.2
13.1	0.2
13.3	0.2
13.6	0.2
13.7	0.1
13.9	0.1
14.1	0.1
14.3	0.1
14.5	0.1
14.7	0.1
14.9	0.1
15.1	0.2
15.3	0.2
15.5	0.3
15.7	0.3
15.9	0.4
16.1	0.5
16.3	0.6
16.5	0.7
16.7	0.7
16.9	0.7
17.1	0.7
17.3	0.6
17.5	0.5
17.7	0.5
17.9	0.4
18.1	0.3
18.3	0.3
18.5	0.2
18.6	0.2
18.9	0.2
19.1	0.2
19.3	0.2
19.5	0.2
19.6	0.2
19.8	0.3
20.1	0.3
20.2	0.4
20.5	0.5
20.6	0.7
20.9	0.9
21.0	1.1
21.3	1.3
21.5	1.4
21.6	1.5
21.9	1.4
22.1	1.3
22.2	1.1
22.5	0.9
22.7	0.8
22.8	0.6
23.0	0.5
23.3	0.4
23.4	0.3
23.7	0.3
23.8	0.2
24.0	0.2
24.2	0.2
24.4	0.3
24.6	0.4
24.8	0.5
25.0	0.6
25.3	0.8
25.4	1.1
25.6	1.3
25.8	1.6
26.1	2.0
26.2	2.2
26.4	2.4
26.6	2.4
26.8	2.3
27.0	2.1
27.2	1.9
27.4	1.6
27.6	1.3
27.8	1.1
28.0	0.8
28.2	0.6
28.3	0.5
28.6	0.4
28.8	0.4
29.0	0.4
29.2	0.4
29.4	0.5
29.6	0.6
29.8	0.8
29.9	1.0
30.1	1.3
30.3	1.7
30.6	2.1
30.8	2.5
30.9	3.0
31.1	3.4
31.3	3.6
31.6	3.7
31.8	3.6
32.0	3.4
32.2	3.0
32.3	2.6
32.6	2.2
32.8	1.8
33.0	1.5
33.2	1.2
33.3	1.0
33.5	0.8
33.7	0.7
33.9	0.6
34.2	0.7
34.3	0.8
34.5	1.0
34.8	1.2
34.9	1.6
35.1	2.0
35.3	2.5
35.5	3.0
35.7	3.7
35.9	4.3
36.1	4.9
36.3	5.3
36.5	5.5
36.7	5.5
36.9	5.4
37.1	5.0
37.3	4.5
37.5	3.9
37.7	3.5
37.9	2.8
38.1	2.4
38.3	2.0
38.4	1.7
38.6	1.5
38.9	1.4
39.1	1.4
39.3	1.5
39.4	1.7
39.7	2.0
39.9	2.6
40.1	3.1
40.3	4.0
40.4	4.7
40.7	5.8
40.9	6.7
41.1	7.6
41.2	8.3
