# Bremsspannung 1.5 Bremsspannung 2 Bremsspannung 2.5 Bremsspannung 3 Bremsspannung 3.5
# "U_B / V" "U_A / V" "U_B / V" "U_A / V" "U_B / V" "U_A / V" "U_B / V" "U_A / V" "U_B / V" "U_A / V"
0.1 0 0.1 0 0.1 0 0.1 0 0.1 0
0.1 0 0.1 0 0.1 0 0.1 0 0.1 0
0.1 0 0.1 0 0.1 0 0.1 0 0.1 0
0.1 0 0.3 0 0.1 0 0.1 0 0.1 0
0.1 0 0.6 0 0.1 0 0.1 0 0.1 0
0.1 0 0.8 0 0.4 0 0.2 0 0.1 0
0.3 0 1 0 0.2 0 0.3 0 0.1 0
0.5 0 1.2 0 0.4 0 0.5 0 0.2 0
0.7 0 1.4 0 0.7 0 0.6 0 0.4 0
0.9 0 1.5 0 0.9 0 0.8 0 0.7 0
1.1 0 1.8 0 1.1 0 1.1 0 0.8 0
1.3 0 2 0 1.2 0 1.2 0 1 0
1.5 0 2.1 0 1.5 0 1.5 0 1.2 0
1.7 0 2.4 0 1.6 0 1.7 0 1.4 0
1.9 0 2.5 0 1.8 0 1.9 0 1.6 0
2.1 0 2.8 0 2.1 0 2 0 1.8 0
2.3 0 3 0 2.2 0 2.3 0 1.9 0
2.5 0 3.1 0 2.4 0 2.4 0 2.2 0
2.7 0 3.3 0 2.6 0 2.6 0 2.4 0
2.8 0 3.5 0 2.9 0 2.8 0 2.6 0
3.1 0 3.7 0 3 0 3 0 2.8 0
3.2 0 3.9 0 3.2 0 3.3 0 3 0
3.5 0 4.2 0 3.4 0 3.4 0 3.2 0
3.6 0 4.3 0 3.6 0 3.6 0 3.3 0
3.9 0 4.6 0 3.8 0 3.8 0 3.5 0
4 0 4.7 0 4 0 4 0 3.8 0
4.2 0 5 0 4.3 0 4.3 0 3.9 0
4.5 0 5.1 0 4.4 0 4.4 0 4.2 0
4.6 0 5.3 0 4.7 0 4.6 0 4.4 0
4.9 0 5.5 0 4.8 0 4.8 0 4.6 0
5 0 5.7 0 5 0 5 0 4.8 0
5.2 0 5.9 0.1 5.2 0 5.2 0 5 0
5.5 0 6.1 0.1 5.4 0 5.4 0 5.2 0
5.6 0 6.3 0.1 5.6 0 5.6 0 5.3 0
5.8 0.1 6.5 0.1 5.8 0 5.8 0 5.6 0
6 0.1 6.7 0.1 6 0 6 0 5.7 0
6.2 0.1 6.9 0.1 6.2 0 6.2 0 6 0
6.4 0.1 7.1 0.1 6.4 0 6.4 0 6.2 0
6.7 0.1 7.4 0.1 6.6 0 6.6 0 6.4 0
6.8 0.1 7.5 0.1 6.8 0 6.8 0 6.5 0
7 0.2 7.7 0.1 7 0.1 7 0 6.7 0
7.2 0.1 7.9 0.1 7.2 0.1 7.2 0 7 0
7.4 0.2 8.1 0.1 7.4 0.1 7.4 0 7.1 0
7.6 0.2 8.3 0.1 7.6 0.1 7.6 0 7.3 0
7.8 0.1 8.5 0.1 7.8 0.1 7.8 0 7.5 0
8.1 0.2 8.7 0.1 8 0.1 8 0 7.7 0
8.2 0.2 8.9 0.1 8.2 0.1 8.2 0 7.9 0
8.4 0.2 9.1 0.1 8.4 0.1 8.4 0 8.2 0
8.6 0.2 9.3 0.1 8.6 0.1 8.6 0 8.4 0
8.8 0.2 9.5 0.1 8.8 0.1 8.7 0 8.5 0
9 0.2 9.7 0.1 8.9 0.1 9 0 8.7 0
9.3 0.2 9.9 0.1 9.2 0.1 9.2 0 8.9 0
9.4 0.2 10.1 0.1 9.4 0.1 9.4 0 9.1 0
9.6 0.2 10.3 0.1 9.6 0.1 9.6 0 9.3 0
9.8 0.2 10.5 0.2 9.8 0.1 9.8 0 9.5 0
10 0.2 10.6 0.2 9.9 0.1 9.9 0 9.8 0
10.2 0.2 10.9 0.2 10.1 0.1 10.2 0 9.9 0
10.4 0.2 11 0.3 10.3 0.1 10.3 0 10.1 0
10.6 0.3 11.2 0.3 10.5 0.1 10.6 0 10.3 0
10.8 0.3 11.4 0.4 10.8 0.1 10.8 0 10.4 0
11 0.3 11.7 0.4 11 0.1 10.9 0 10.7 0
11.2 0.4 11.9 0.4 11.2 0.2 11.1 0.1 10.9 0
11.4 0.5 12 0.4 11.3 0.2 11.3 0.1 11.1 0
11.6 0.5 12.2 0.4 11.6 0.2 11.5 0.1 11.3 0
11.8 0.6 12.4 0.4 11.8 0.3 11.7 0.1 11.5 0.1
11.9 0.6 12.6 0.4 11.9 0.3 11.9 0.2 11.7 0.1
12.2 0.5 12.9 0.3 12.1 0.3 12.2 0.2 11.9 0.1
12.3 0.5 13 0.3 12.3 0.3 12.3 0.2 12 0.1
12.5 0.5 13.2 0.3 12.5 0.2 12.5 0.2 12.2 0.1
12.8 0.5 13.4 0.2 12.7 0.3 12.7 0.2 12.5 0.1
12.9 0.4 13.6 0.2 12.9 0.2 12.9 0.1 12.7 0.1
13.2 0.4 13.8 0.2 13.1 0.2 13.1 0.1 12.9 0.1
13.3 0.3 14.1 0.2 13.3 0.2 13.3 0.1 13 0.1
13.6 0.3 14.2 0.2 13.6 0.2 13.5 0.1 13.3 0.1
13.7 0.3 14.4 0.2 13.7 0.1 13.7 0.1 13.5 0.1
14 0.3 14.6 0.3 13.9 0.1 13.9 0.1 13.7 0
14.2 0.3 14.8 0.3 14.1 0.1 14.1 0.1 13.9 0.1
14.3 0.3 15 0.3 14.3 0.1 14.3 0.1 14.1 0
14.5 0.4 15.2 0.4 14.5 0.1 14.5 0 14.3 0
14.7 0.4 15.4 0.5 14.7 0.1 14.7 0.1 14.4 0
15 0.5 15.6 0.5 14.9 0.1 14.9 0 14.7 0
15.1 0.6 15.8 0.7 15.1 0.2 15.1 0.1 14.8 0
15.3 0.7 16 0.8 15.3 0.2 15.4 0.1 15.1 0
15.5 0.8 16.2 0.9 15.5 0.3 15.5 0.1 15.3 0
15.7 0.9 16.4 1 15.7 0.3 15.7 0.2 15.4 0
15.9 1.1 16.6 1.1 15.9 0.4 15.9 0.2 15.7 0
16.1 1.2 16.8 1.1 16.1 0.5 16 0.3 15.9 0.1
16.3 1.3 17 1 16.3 0.6 16.3 0.3 16 0.1
16.6 1.4 17.2 0.9 16.5 0.7 16.5 0.4 16.3 0.2
16.7 1.4 17.4 0.8 16.7 0.7 16.7 0.5 16.4 0.2
17 1.3 17.6 0.7 16.9 0.7 16.8 0.5 16.6 0.2
17.1 1.2 17.8 0.6 17.1 0.7 17 0.5 16.8 0.2
17.3 1.1 18 0.5 17.3 0.6 17.3 0.4 17 0.3
17.5 0.9 18.2 0.4 17.5 0.5 17.5 0.4 17.2 0.2
17.7 0.8 18.4 0.3 17.7 0.5 17.7 0.3 17.4 0.2
17.9 0.7 18.6 0.3 17.9 0.4 17.9 0.3 17.6 0.2
18.1 0.6 18.9 0.3 18.1 0.3 18.1 0.2 17.8 0.2
18.4 0.6 19 0.3 18.3 0.3 18.2 0.2 18.1 0.2
18.5 0.5 19.2 0.3 18.5 0.2 18.5 0.2 18.2 0.1
18.7 0.5 19.4 0.4 18.6 0.2 18.6 0.1 18.4 0.1
18.9 0.6 19.6 0.5 18.9 0.2 18.8 0.1 18.6 0.1
19.1 0.6 19.7 0.6 19.1 0.2 19.1 0.1 18.8 0.1
19.3 0.7 19.9 0.7 19.3 0.2 19.2 0.1 19 0
19.5 0.8 20.2 0.9 19.5 0.2 19.5 0.1 19.2 0.1
19.7 0.9 20.3 1 19.6 0.2 19.7 0.1 19.4 0
19.9 1.1 20.5 1.2 19.8 0.3 19.8 0.1 19.6 0
20.1 1.3 20.8 1.5 20.1 0.3 20.1 0.2 19.8 0
20.3 1.5 20.9 1.7 20.2 0.4 20.3 0.2 20 0
20.5 1.7 21.1 2 20.5 0.5 20.4 0.3 20.2 0
20.7 2 21.3 2.2 20.6 0.7 20.6 0.4 20.4 0.1
20.9 2.3 21.6 2.2 20.9 0.9 20.9 0.5 20.6 0.1
21.1 2.5 21.8 2.1 21 1.1 21.1 0.6 20.8 0.2
21.3 2.7 22 1.9 21.3 1.3 21.2 0.8 21 0.3
21.5 2.8 22.2 1.7 21.5 1.4 21.5 0.9 21.2 0.4
21.7 2.7 22.3 1.5 21.6 1.5 21.6 0.9 21.4 0.4
21.9 2.4 22.5 1.2 21.9 1.4 21.9 0.9 21.6 0.5
22.1 2.2 22.7 1 22.1 1.3 22 0.8 21.8 0.5
22.3 1.8 22.9 0.8 22.2 1.1 22.2 0.7 22 0.5
22.5 1.5 23.1 0.6 22.5 0.9 22.4 0.6 22.2 0.5
22.7 1.3 23.3 0.5 22.7 0.8 22.6 0.5 22.4 0.4
22.9 1.1 23.5 0.5 22.8 0.6 22.8 0.4 22.6 0.3
23.1 0.9 23.7 0.5 23 0.5 23 0.3 22.8 0.3
23.3 0.9 23.9 0.5 23.3 0.4 23.2 0.3 23 0.2
23.4 0.9 24.1 0.6 23.4 0.3 23.4 0.2 23.2 0.2
23.7 0.9 24.4 0.7 23.7 0.3 23.6 0.2 23.4 0.2
23.8 1 24.5 0.8 23.8 0.2 23.9 0.1 23.6 0.1
24.1 1.1 24.7 1.1 24 0.2 24 0.1 23.8 0.1
24.2 1.3 24.9 1.3 24.2 0.2 24.2 0.1 24 0.1
24.5 1.4 25.1 1.5 24.4 0.3 24.4 0.1 24.2 0.1
24.7 1.7 25.3 1.9 24.6 0.4 24.6 0.2 24.4 0.1
24.8 2 25.6 2.2 24.8 0.5 24.8 0.2 24.5 0.1
25.1 2.3 25.7 2.6 25 0.6 25 0.3 24.8 0
25.2 2.7 25.9 3 25.3 0.8 25.2 0.4 25 0.1
25.4 3 26.1 3.4 25.4 1.1 25.4 0.5 25.2 0.1
25.7 3.5 26.3 3.7 25.6 1.3 25.6 0.7 25.4 0.2
25.9 3.9 26.5 3.7 25.8 1.6 25.8 0.9 25.6 0.3
26.1 4.4 26.7 3.5 26.1 2 26 1.2 25.8 0.4
26.2 4.7 26.9 3.2 26.2 2.2 26.2 1.4 25.9 0.5
26.5 4.7 27.1 2.8 26.4 2.4 26.4 1.5 26.1 0.7
26.6 4.4 27.3 2.4 26.6 2.4 26.6 1.6 26.3 0.8
26.8 4.1 27.5 2 26.8 2.3 26.8 1.5 26.6 0.9
27 3.6 27.7 1.6 27 2.1 27 1.4 26.8 0.9
27.3 3.1 27.9 1.3 27.2 1.9 27.2 1.2 27 0.9
27.5 2.6 28.1 1 27.4 1.6 27.4 1.1 27.2 0.8
27.6 2.1 28.3 0.9 27.6 1.3 27.6 0.9 27.3 0.7
27.8 1.8 28.5 0.8 27.8 1.1 27.8 0.7 27.5 0.6
