# "Mfeld Kalib" 1 "Mfeld Kalib" 2
# "I_A1 / A" "B_B1 / mT" "I_A1 / A" "B_B1 / mT"
0 0 0 1
0.33 27 0.72 60
0.84 67 0.71 61
1.26 107 1.86 167
1.92 164 1.61 144
2.19 189 2.22 199
2.75 237 2.25 200
2.78 239 2.45 219
3.06 265 3.02 269
3.44 298 3.11 279
3.8 328 3.59 321
4.11 355 3.89 350
4.14 358 4.05 364
4.38 378 4.53 406
4.64 398 4.97 441
4.85 416 5.12 453
4.94 424 5.33 468
5.22 444 5.73 494
5.45 459 5.97 510
5.64 473 6.47 534
5.72 476 6.93 554
5.91 488 7.43 572
6.11 498 7.8 584
6.24 505 8.1 594
6.41 513 8.19 597
6.72 527 8.45 605
6.92 535 8.78 614
7.16 544 8.9 618
7.37 551 8.91 617
7.68 562 8.91 617
8.03 573 8.91 617
8.31 581 8.91 617
8.79 594 8.91 617
9.27 607 8.91 617
9.71 617 8.91 617
10.17 626 8.91 617
