I_A1 / A	B_B1 / mT
0.02	0
0.02	0
0.02	0
0.00	0
0.00	0
0.02	0
0.00	0
0.00	-1
0.02	0
0.02	0
0.02	0
0.02	0
0.00	0
0.00	0
0.33	27
0.84	67
1.26	107
1.92	164
2.19	189
2.75	237
2.78	239
3.06	265
3.44	298
3.80	328
4.11	355
4.14	358
4.38	378
4.64	398
4.85	416
4.94	424
5.22	444
5.45	459
5.64	473
5.72	476
5.91	488
6.11	498
6.24	505
6.41	513
6.72	527
6.92	535
7.16	544
7.37	551
7.68	562
8.03	573
8.31	581
8.79	594
9.27	607
9.71	617
10.17	626
9.90	622
9.87	622
9.89	621
9.87	621
9.90	621
9.89	621
9.92	621
9.89	621
9.89	621
9.90	621
9.89	621
9.90	621
9.87	621
9.87	621
9.87	621
9.87	621
9.86	621
9.89	621
9.87	621
9.87	621
9.87	621
9.89	621
9.84	621
9.86	621
9.87	621
9.90	621
9.87	621
9.87	621
9.89	621
9.86	621
9.87	621
9.87	621
9.87	622
9.87	621
9.87	621
9.87	621
