&a / °	I1 / %
5.459	0.0
5.454	0.0
5.449	0.0
5.443	0.0
5.438	0.0
5.433	0.0
5.428	0.0
5.422	0.0
5.417	0.0
5.412	0.0
5.406	0.0
5.401	0.0
5.396	0.0
5.390	0.0
5.385	0.0
5.380	0.0
5.375	0.0
5.369	0.0
5.364	0.0
5.359	0.0
5.353	0.0
5.348	0.0
5.343	0.0
5.337	0.0
5.332	0.0
5.327	0.0
5.322	0.0
5.316	0.0
5.311	0.0
5.306	0.0
5.300	0.0
5.295	0.0
5.290	0.0
5.284	0.0
5.279	0.0
5.274	0.0
5.269	0.0
5.263	0.0
5.258	0.0
5.253	0.0
5.247	0.0
5.242	0.0
5.237	0.0
5.231	0.0
5.226	0.0
5.221	0.0
5.216	0.0
5.210	0.0
5.205	0.0
5.200	0.0
5.194	0.0
5.189	0.0
5.184	0.0
5.178	0.2
5.173	0.4
5.168	0.8
5.162	0.9
5.157	0.9
5.152	0.8
5.147	0.8
5.141	0.5
5.136	0.4
5.131	0.4
5.125	0.4
5.120	0.4
5.115	0.4
5.109	0.4
5.104	0.4
5.099	0.6
5.094	1.2
5.088	1.6
5.083	2.0
5.078	1.9
5.072	1.6
5.067	1.2
5.062	0.8
5.056	0.8
5.051	0.8
5.046	0.5
5.040	0.5
5.035	0.5
5.030	0.6
5.025	0.9
5.019	1.6
5.014	2.4
5.009	3.2
5.003	3.2
4.998	2.8
4.993	2.4
4.987	2.0
4.982	1.6
4.977	1.2
4.971	0.8
4.966	0.8
4.961	0.8
4.956	0.8
4.950	1.0
4.945	1.4
4.940	2.2
4.934	3.6
4.929	4.4
4.924	4.8
4.918	4.4
4.913	3.6
4.908	2.8
4.902	2.3
4.897	1.7
4.892	1.3
4.887	1.0
4.881	1.0
4.876	1.1
4.871	1.5
4.865	1.9
4.860	3.1
4.855	4.8
4.849	6.2
4.844	6.4
4.839	6.0
4.833	5.2
4.828	4.4
4.823	3.3
4.818	2.6
4.812	2.1
4.807	1.7
4.802	1.6
4.796	1.6
4.791	1.6
4.786	2.0
4.780	3.2
4.775	5.2
4.770	7.2
4.764	8.0
4.759	7.6
4.754	6.8
4.748	5.6
4.743	4.7
4.738	3.7
4.733	2.9
4.727	2.4
4.722	2.0
4.717	2.0
4.711	2.0
4.706	2.4
4.701	3.2
4.695	4.8
4.690	7.5
4.685	9.3
4.679	9.7
4.674	9.0
4.669	8.0
4.663	6.8
4.658	5.6
4.653	4.4
4.648	3.6
4.642	2.8
4.637	2.4
4.632	2.4
4.626	2.4
4.621	2.8
4.616	4.0
4.610	6.4
4.605	9.2
4.600	11.2
4.594	11.6
4.589	10.8
4.584	9.6
4.578	8.0
4.573	6.8
4.568	5.6
4.563	4.4
4.557	3.6
4.552	3.2
4.547	2.8
4.541	2.9
4.536	3.5
4.531	4.8
4.525	7.2
4.520	10.0
4.515	11.8
4.509	12.6
4.504	12.2
4.499	11.2
4.493	9.7
4.488	8.1
4.483	6.7
4.478	5.5
4.472	4.4
4.467	3.8
4.462	3.4
4.456	3.4
4.451	3.6
4.446	4.5
4.440	7.0
4.435	10.6
4.430	13.2
4.424	14.4
4.419	14.4
4.414	13.2
4.408	11.6
4.403	10.0
4.398	8.4
4.392	6.8
4.387	5.6
4.382	4.8
4.377	4.0
4.371	3.6
4.366	3.6
4.361	4.2
4.355	5.7
4.350	8.9
4.345	12.1
4.339	13.5
4.334	13.5
4.329	12.6
4.323	11.2
4.318	10.0
4.313	8.8
4.307	7.9
4.302	6.8
4.297	6.0
4.291	5.2
4.286	4.6
4.281	4.2
4.275	4.2
4.270	4.8
4.265	6.4
4.260	10.0
4.254	14.2
4.249	16.5
4.244	17.0
4.238	16.3
4.233	14.8
4.228	12.9
4.222	11.2
4.217	9.5
4.212	8.0
4.206	6.8
4.201	5.8
4.196	5.0
4.190	4.6
4.185	4.4
4.180	4.8
4.174	6.0
4.169	9.1
4.164	14.0
4.158	17.5
4.153	18.3
4.148	17.4
4.143	15.6
4.137	13.6
4.132	11.6
4.127	10.0
4.121	8.7
4.116	7.6
4.111	6.5
4.105	6.0
4.100	5.2
4.095	4.8
4.089	4.8
4.084	5.5
4.079	7.1
4.073	10.8
4.068	15.6
4.063	18.8
4.057	19.6
4.052	18.8
4.047	16.8
4.041	14.8
4.036	12.8
4.031	10.9
4.025	9.3
4.020	8.1
4.015	7.1
4.009	6.3
4.004	5.6
3.999	5.2
3.994	5.2
3.988	5.6
3.983	6.9
3.978	10.8
3.972	16.8
3.967	21.2
3.962	22.3
3.956	21.1
3.951	18.7
3.946	16.0
3.940	13.6
3.935	11.6
3.930	10.0
3.924	8.7
3.919	7.6
3.914	6.7
3.908	6.0
3.903	5.6
3.898	5.5
3.892	5.5
3.887	6.3
3.882	8.5
3.876	13.3
3.871	19.5
3.866	22.9
3.860	23.3
3.855	21.5
3.850	18.8
3.844	16.0
3.839	13.6
3.834	11.3
3.829	9.7
3.823	8.4
3.818	7.4
3.813	6.5
3.807	6.0
3.802	5.6
3.797	5.6
3.791	5.6
3.786	6.4
3.781	8.3
3.775	12.7
3.770	18.7
3.765	23.2
3.759	24.4
3.754	23.1
3.749	20.3
3.743	17.3
3.738	14.5
3.733	12.1
3.727	10.1
3.722	8.8
3.717	7.6
3.711	6.8
3.706	6.0
3.701	5.6
3.695	5.6
3.690	5.6
3.685	6.0
3.679	7.2
3.674	10.3
3.669	16.4
3.663	23.2
3.658	27.2
3.653	27.2
3.647	24.7
3.642	21.0
3.637	17.4
3.632	14.2
3.626	11.9
3.621	10.0
3.616	8.4
3.610	7.3
3.605	6.5
3.600	6.0
3.594	5.6
3.589	5.6
3.584	5.6
3.578	6.0
3.573	7.1
3.568	9.5
3.562	15.1
3.557	22.4
3.552	27.6
3.546	29.1
3.541	27.2
3.536	23.5
3.530	19.4
3.525	15.6
3.520	12.8
3.514	10.6
3.509	9.0
3.504	7.8
3.498	7.0
3.493	6.2
3.488	5.8
3.482	5.6
3.477	5.6
3.472	6.0
3.466	6.4
3.461	7.6
3.456	10.7
3.450	16.4
3.445	23.7
3.440	29.0
3.434	30.8
3.429	28.8
3.424	24.8
3.418	20.4
3.413	16.4
3.408	13.2
3.402	10.8
3.397	8.9
3.392	7.7
3.386	6.6
3.381	6.0
3.376	5.6
3.370	5.6
3.365	5.6
3.360	5.9
3.354	6.3
3.349	7.4
3.344	9.5
3.338	13.9
3.333	21.0
3.328	27.9
3.322	31.7
3.317	31.9
3.312	28.8
3.306	24.4
3.301	19.6
3.296	15.6
3.291	12.8
3.285	10.4
3.280	8.8
3.275	7.6
3.269	6.4
3.264	6.0
3.259	5.6
3.253	5.3
3.248	5.3
3.243	5.4
3.237	6.0
3.232	7.0
3.227	8.8
3.221	12.7
3.216	19.2
3.211	26.5
3.205	32.0
3.200	34.0
3.195	32.1
3.189	27.8
3.184	22.7
3.179	18.3
3.173	14.7
3.168	11.9
3.163	9.8
3.157	8.3
3.152	7.1
3.147	6.3
3.141	5.8
3.136	5.6
3.131	5.4
3.125	5.4
3.120	5.5
3.115	6.2
3.109	7.2
3.104	9.0
3.099	12.6
3.093	18.8
3.088	26.2
3.083	32.2
3.077	35.4
3.072	34.6
3.067	30.5
3.061	25.3
3.056	20.3
3.051	16.0
3.045	12.8
3.040	10.4
3.035	8.8
3.029	7.6
3.024	6.4
3.019	6.0
3.013	5.6
3.008	5.5
3.003	5.4
2.997	5.4
2.992	5.7
2.987	6.3
2.981	7.2
2.976	9.1
2.971	12.5
2.965	18.5
2.960	25.8
2.955	32.0
2.949	35.8
2.944	36.3
2.939	33.2
2.933	28.3
2.928	22.8
2.923	18.2
2.917	14.5
2.912	11.7
2.907	9.6
2.901	8.1
2.896	7.0
2.891	6.2
2.885	5.8
2.880	5.5
2.875	5.2
2.869	5.2
2.864	5.2
2.859	5.6
2.853	6.2
2.848	7.2
2.843	8.8
2.837	12.1
2.832	17.6
2.827	24.9
2.821	32.0
2.816	37.3
2.811	39.5
2.805	37.5
2.800	32.6
2.795	26.8
2.789	21.2
2.784	16.7
2.779	13.2
2.773	10.8
2.768	8.8
2.763	7.6
2.757	6.4
2.752	6.0
2.747	5.6
2.741	5.3
2.736	5.1
2.731	5.2
2.725	5.2
2.720	5.6
2.715	6.1
2.709	7.2
2.704	8.6
2.699	11.3
2.693	15.9
2.688	22.6
2.683	29.8
2.677	35.8
2.672	39.3
2.667	39.2
2.661	35.9
2.656	30.7
2.651	25.1
2.645	20.1
2.640	16.0
2.635	12.8
2.629	10.4
2.624	8.8
2.619	7.6
2.613	6.8
2.608	6.0
2.602	5.6
2.597	5.4
2.592	5.3
2.586	5.2
2.581	5.2
2.576	5.2
2.570	5.3
2.565	5.7
2.560	6.5
2.554	8.0
2.549	10.5
2.544	14.9
2.538	21.6
2.533	28.8
