&a / °	I1 / %
5.459	0.4
5.454	0.4
5.449	0.4
5.443	0.4
5.438	0.4
5.433	0.4
5.428	0.4
5.422	0.4
5.417	0.4
5.412	0.4
5.406	0.4
5.401	0.4
5.396	0.4
5.390	0.4
5.385	0.4
5.380	0.4
5.375	0.4
5.369	0.4
5.364	0.4
5.359	0.4
5.353	0.4
5.348	0.4
5.343	0.4
5.337	0.4
5.332	0.4
5.327	0.4
5.322	0.4
5.316	0.4
5.311	0.4
5.306	0.4
5.300	0.4
5.295	0.4
5.290	0.4
5.284	0.5
5.279	0.5
5.274	0.6
5.269	0.6
5.263	0.8
5.258	0.8
5.253	1.0
5.247	1.0
5.242	1.2
5.237	1.2
5.231	1.2
5.226	1.2
5.221	1.2
5.216	1.2
5.210	1.2
5.205	1.2
5.200	1.2
5.194	1.2
5.189	1.4
5.184	1.6
5.178	1.6
5.173	1.8
5.168	2.0
5.162	2.1
5.157	2.1
5.152	2.1
5.147	2.1
5.141	2.1
5.136	2.1
5.131	2.0
5.125	2.0
5.120	2.0
5.115	2.3
5.109	2.5
5.104	2.8
5.099	2.8
5.094	3.1
5.088	3.4
5.083	3.5
5.078	3.5
5.072	3.5
5.067	3.5
5.062	3.5
5.056	3.1
5.051	2.8
5.046	2.8
5.040	3.0
5.035	3.4
5.030	3.8
5.025	4.1
5.019	4.6
5.014	5.0
5.009	5.3
5.003	5.3
4.998	5.3
4.993	5.3
4.987	5.3
4.982	4.9
4.977	4.4
4.971	4.0
4.966	3.8
4.961	4.0
4.956	4.7
4.950	5.1
4.945	5.5
4.940	6.1
4.934	7.0
4.929	7.5
4.924	7.6
4.918	7.5
4.913	7.5
4.908	7.1
4.902	6.5
4.897	5.7
4.892	5.1
4.887	4.7
4.881	5.1
4.876	5.9
4.871	6.7
4.865	7.1
4.860	7.9
4.855	9.2
4.849	10.2
4.844	10.2
4.839	9.9
4.833	9.9
4.828	9.7
4.823	8.9
4.818	7.9
4.812	7.1
4.807	6.7
4.802	6.7
4.796	7.5
4.791	8.2
4.786	8.8
4.780	9.6
4.775	11.2
4.770	12.6
4.764	13.0
4.759	13.0
4.754	13.0
4.748	12.6
4.743	11.9
4.738	10.7
4.733	9.5
4.727	8.3
4.722	7.9
4.717	8.3
4.711	9.5
4.706	10.3
4.701	11.1
4.695	12.6
4.690	14.6
4.685	15.7
4.679	15.9
4.674	15.9
4.669	15.9
4.663	15.3
4.658	14.1
4.653	12.5
4.648	11.1
4.642	9.9
4.637	9.7
4.632	10.3
4.626	11.4
4.621	12.3
4.616	13.5
4.610	15.4
4.605	17.5
4.600	18.6
4.594	19.0
4.589	19.0
4.584	18.8
4.578	18.0
4.573	16.5
4.568	14.9
4.563	13.2
4.557	12.0
4.552	11.6
4.547	12.3
4.541	13.4
4.536	14.2
4.531	15.4
4.525	17.3
4.520	19.1
4.515	20.2
4.509	20.9
4.504	21.4
4.499	21.7
4.493	21.0
4.488	19.5
4.483	17.5
4.478	15.5
4.472	13.6
4.467	13.0
4.462	13.5
4.456	14.6
4.451	15.4
4.446	16.7
4.440	19.0
4.435	21.5
4.430	23.0
4.424	23.7
4.419	23.9
4.414	24.3
4.408	23.6
4.403	22.2
4.398	20.3
4.392	18.3
4.387	16.3
4.382	14.8
4.377	14.6
4.371	15.4
4.366	16.0
4.361	16.8
4.355	18.4
4.350	21.3
4.345	23.1
4.339	23.1
4.334	22.2
4.329	21.4
4.323	21.1
4.318	21.1
4.313	20.5
4.307	19.5
4.302	18.3
4.297	16.7
4.291	15.6
4.286	16.0
4.281	17.2
4.275	18.3
4.270	19.1
4.265	20.7
4.260	23.6
4.254	26.3
4.249	27.1
4.244	27.1
4.238	27.3
4.233	27.9
4.228	27.4
4.222	25.7
4.217	23.3
4.212	20.8
4.206	18.4
4.201	16.8
4.196	16.4
4.190	17.9
4.185	19.1
4.180	19.9
4.174	21.1
4.169	23.8
4.164	27.1
4.158	28.8
4.153	28.5
4.148	27.8
4.143	27.6
4.137	27.4
4.132	26.4
4.127	24.6
4.121	22.5
4.116	20.4
4.111	18.4
4.105	17.4
4.100	17.8
4.095	19.7
4.089	21.1
4.084	21.9
4.079	23.1
4.073	26.0
