																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.736	15.4		2.736	19.0		2.736	14.5		2.736	14.2		2.736	14.9		2.736	15.4
2.733	15.4		2.733	19.0		2.733	14.5		2.733	14.2		2.733	15.0		2.733	15.4
2.731	15.4		2.731	19.0		2.731	14.4		2.731	14.1		2.731	14.9		2.731	15.4
2.728	15.3		2.728	18.9		2.728	14.4		2.728	14.1		2.728	14.9		2.728	15.4
2.725	15.3		2.725	18.9		2.725	14.4		2.725	14.1		2.725	14.9		2.725	15.4
2.723	15.3		2.723	18.9		2.723	14.5		2.723	14.1		2.723	14.9		2.723	15.4
2.720	15.3		2.720	18.9		2.720	14.4		2.720	14.1		2.720	14.9		2.720	15.4
2.717	15.3		2.717	18.9		2.717	14.4		2.717	14.1		2.717	14.9		2.717	15.3
2.715	15.3		2.715	18.9		2.715	14.4		2.715	14.1		2.715	14.9		2.715	15.3
2.712	15.3		2.712	18.9		2.712	14.5		2.712	14.1		2.712	14.9		2.712	15.3
2.709	15.3		2.709	18.9		2.709	14.5		2.709	14.1		2.709	14.9		2.709	15.3
2.707	15.3		2.707	18.9		2.707	14.5		2.707	14.1		2.707	14.9		2.707	15.3
2.704	15.3		2.704	18.9		2.704	14.4		2.704	14.1		2.704	14.9		2.704	15.3
2.701	15.3		2.701	18.9		2.701	14.5		2.701	14.1		2.701	14.9		2.701	15.3
2.699	15.3		2.699	18.9		2.699	14.4		2.699	14.1		2.699	14.8		2.699	15.3
2.696	15.3		2.696	18.9		2.696	14.4		2.696	14.1		2.696	14.8		2.696	15.3
2.693	15.3		2.693	18.9		2.693	14.5		2.693	14.1		2.693	14.8		2.693	15.3
2.691	15.3		2.691	18.9		2.691	14.4		2.691	14.1		2.691	14.8		2.691	15.3
2.688	15.3		2.688	18.9		2.688	14.4		2.688	14.1		2.688	14.8		2.688	15.3
2.685	15.3		2.685	18.9		2.685	14.4		2.685	14.1		2.685	14.8		2.685	15.3
2.683	15.3		2.683	18.9		2.683	14.5		2.683	14.1		2.683	14.8		2.683	15.3
2.680	15.3		2.680	18.9		2.680	14.5		2.680	14.1		2.680	14.8		2.680	15.3
2.677	15.3		2.677	18.9		2.677	14.5		2.677	14.1		2.677	14.8		2.677	15.3
2.675	15.3		2.675	18.9		2.675	14.5		2.675	14.1		2.675	14.9		2.675	15.3
2.672	15.3		2.672	18.9		2.672	14.4		2.672	14.1		2.672	14.8		2.672	15.3
2.669	15.3		2.669	18.9		2.669	14.4		2.669	14.1		2.669	14.8		2.669	15.3
2.667	15.3		2.667	18.9		2.667	14.5		2.667	14.1		2.667	14.9		2.667	15.3
2.664	15.3		2.664	18.9		2.664	14.4		2.664	14.0		2.664	14.9		2.664	15.3
2.661	15.3		2.661	18.9		2.661	14.4		2.661	14.0		2.661	14.8		2.661	15.3
2.659	15.3		2.659	18.9		2.659	14.4		2.659	14.0		2.659	14.8		2.659	15.3
2.656	15.3		2.656	18.9		2.656	14.4		2.656	14.1		2.656	14.8		2.656	15.3
2.653	15.3		2.653	18.8		2.653	14.4		2.653	14.0		2.653	14.8		2.653	15.3
