&a / °	I1 / %
2,736	19,0
2,733	19,0
2,731	19,0
2,728	18,9
2,725	18,9
2,723	18,9
2,720	18,9
2,717	18,9
2,715	18,9
2,712	18,9
2,709	18,9
2,707	18,9
2,704	18,9
2,701	18,9
2,699	18,9
2,696	18,9
2,693	18,9
2,691	18,9
2,688	18,9
2,685	18,9
2,683	18,9
2,680	18,9
2,677	18,9
2,675	18,9
2,672	18,9
2,669	18,9
2,667	18,9
2,664	18,9
2,661	18,9
2,659	18,9
2,656	18,9
2,653	18,8
2,651	18,8
2,648	18,8
2,645	18,8
2,643	18,8
2,640	18,8
2,637	18,8
2,635	18,8
2,632	18,8
2,629	18,8
2,627	18,8
2,624	18,8
2,621	18,8
2,619	18,8
2,616	18,8
2,613	18,8
2,610	18,8
2,608	18,8
2,605	18,8
2,602	18,8
2,600	18,8
2,597	18,8
2,594	18,8
2,592	18,8
2,589	18,8
2,586	18,8
2,584	18,8
2,581	18,8
2,578	18,8
2,576	18,8
2,573	18,8
2,570	18,8
2,568	18,8
2,565	18,8
2,562	18,8
2,560	18,8
2,557	18,8
2,554	18,8
2,552	18,7
2,549	18,8
2,546	18,7
2,544	18,7
2,541	18,7
2,538	18,7
2,536	18,8
2,533	18,8
2,530	18,8
2,528	18,8
2,525	18,8
2,522	18,8
2,520	18,8
2,517	18,8
2,514	18,8
2,512	18,8
2,509	18,8
2,506	18,8
2,504	18,8
2,501	18,8
2,498	18,8
2,496	18,8
2,493	18,8
2,490	18,7
2,488	18,7
2,485	18,7
2,482	18,7
2,480	18,7
2,477	18,7
2,474	18,7
2,472	18,7
2,469	18,7
2,466	18,7
2,464	18,7
2,461	18,7
2,458	18,7
2,456	18,8
2,453	18,8
2,450	18,8
2,448	18,8
2,445	18,7
2,442	18,7
2,440	18,7
2,437	18,8
2,434	18,8
2,432	18,8
2,429	18,8
2,426	18,8
2,424	18,8
2,421	18,8
2,418	18,8
2,416	18,8
2,413	18,8
2,410	18,7
2,408	18,8
2,405	18,8
2,402	18,7
2,400	18,8
2,397	18,8
2,394	18,7
2,392	18,7
2,389	18,7
2,386	18,7
2,384	18,7
2,381	18,7
2,378	18,7
2,376	18,7
2,373	18,7
2,370	18,7
2,368	18,7
2,365	18,7
2,362	18,7
2,360	18,7
2,357	18,7
2,354	18,7
2,352	18,7
2,349	18,7
2,346	18,7
2,344	18,7
2,341	18,7
2,338	18,7
2,336	18,7
2,333	18,7
2,330	18,7
2,328	18,7
2,325	18,7
2,322	18,7
2,320	18,7
2,317	18,7
2,314	18,7
2,312	18,7
2,309	18,7
2,306	18,7
2,304	18,7
2,301	18,7
2,298	18,7
2,296	18,7
2,293	18,7
2,290	18,7
2,288	18,7
2,285	18,7
2,282	18,7
2,280	18,7
2,277	18,7
2,274	18,7
2,272	18,7
2,269	18,7
2,266	18,7
2,264	18,7
2,261	18,7
2,258	18,7
2,256	18,7
2,253	18,7
2,250	18,7
2,248	18,7
2,245	18,7
2,242	18,7
2,240	18,7
2,237	18,7
2,234	18,7
2,231	18,7
2,229	18,7
2,226	18,7
2,223	18,7
2,221	18,7
2,218	18,7
2,215	18,7
2,213	18,7
2,210	18,7
2,207	18,7
2,205	18,7
2,202	18,7
2,199	18,7
2,197	18,7
2,194	18,7
2,191	18,7
2,189	18,7
2,186	18,7
2,183	18,7
2,181	18,7
2,178	18,7
2,175	18,7
2,173	18,7
2,170	18,7
2,167	18,7
2,165	18,7
2,162	18,7
2,159	18,7
2,157	18,7
2,154	18,7
2,151	18,7
2,149	18,7
2,146	18,7
2,143	18,7
2,141	18,7
2,138	18,7
2,135	18,8
2,133	18,8
2,130	18,8
2,127	18,8
2,125	18,8
2,122	18,8
2,119	18,8
2,117	18,8
2,114	18,8
2,111	18,8
2,109	18,8
2,106	18,8
2,103	18,8
2,101	18,8
2,098	18,8
2,095	18,8
2,093	18,8
2,090	18,8
2,087	18,8
2,085	18,8
2,082	18,8
2,079	18,8
2,077	18,8
2,074	18,8
2,071	18,8
2,069	18,8
2,066	18,8
2,063	18,8
2,061	18,8
2,058	18,8
2,055	18,8
2,053	18,8
2,050	18,8
2,047	18,8
2,045	18,8
2,042	18,8
2,039	18,8
2,037	18,8
2,034	18,8
2,031	18,8
2,029	18,8
2,026	18,8
2,023	18,8
2,021	18,8
2,018	18,9
2,015	18,9
2,013	18,8
2,010	18,8
2,007	18,8
2,005	18,8
2,002	18,8
1,999	18,9
1,997	18,9
1,994	18,9
1,991	18,9
1,989	18,9
1,986	18,9
1,983	18,8
1,980	18,9
1,978	18,9
1,975	18,9
1,972	18,9
1,970	18,9
1,967	18,9
1,964	18,9
1,962	18,9
1,959	18,9
1,956	18,9
1,954	18,9
1,951	18,9
1,948	18,9
1,946	18,9
1,943	18,9
1,940	18,9
1,938	18,9
1,935	18,9
1,932	18,9
1,930	18,9
1,927	18,9
1,924	18,9
1,922	18,9
1,919	18,9
1,916	19,0
1,914	19,0
1,911	18,9
1,908	18,9
1,906	18,9
1,903	18,9
1,900	18,9
1,898	18,9
1,895	18,9
1,892	18,9
1,890	18,9
1,887	18,9
1,884	18,9
1,882	18,9
1,879	18,9
1,876	18,9
1,874	19,0
1,871	18,9
1,868	19,0
1,866	18,9
1,863	18,9
1,860	19,0
1,858	18,9
1,855	18,9
1,852	18,9
1,850	18,9
1,847	19,0
1,844	18,9
1,842	18,9
1,839	18,9
1,836	18,9
1,834	18,9
1,831	18,9
1,828	19,0
1,826	19,0
1,823	19,0
1,820	19,0
1,818	19,0
1,815	19,0
1,812	19,0
1,810	19,0
1,807	19,0
1,804	19,0
1,802	19,0
1,799	19,0
1,796	19,0
1,794	19,0
1,791	19,0
1,788	19,0
1,786	19,0
1,783	19,0
1,780	19,0
1,778	19,0
1,775	19,0
1,772	19,0
1,769	19,0
1,767	19,0
1,764	19,0
1,761	19,0
1,759	19,0
1,756	19,0
1,753	19,0
1,751	19,0
1,748	19,0
1,745	19,0
1,743	19,0
1,740	19,0
1,737	19,0
1,735	19,1
1,732	19,0
1,729	19,0
1,727	19,1
1,724	19,0
1,721	19,0
1,719	19,0
1,716	19,1
1,713	19,1
1,711	19,0
1,708	19,0
1,705	19,0
1,703	19,0
1,700	19,0
1,697	19,0
1,695	19,1
1,692	19,1
1,689	19,1
1,687	19,1
1,684	19,1
1,681	19,1
1,679	19,1
1,676	19,1
1,673	19,1
1,671	19,1
1,668	19,1
1,665	19,1
1,663	19,1
1,660	19,1
