&a / °	I1 / %
2,736	15,4
2,733	15,4
2,731	15,4
2,728	15,3
2,725	15,3
2,723	15,3
2,720	15,3
2,717	15,3
2,715	15,3
2,712	15,3
2,709	15,3
2,707	15,3
2,704	15,3
2,701	15,3
2,699	15,3
2,696	15,3
2,693	15,3
2,691	15,3
2,688	15,3
2,685	15,3
2,683	15,3
2,680	15,3
2,677	15,3
2,675	15,3
2,672	15,3
2,669	15,3
2,667	15,3
2,664	15,3
2,661	15,3
2,659	15,3
2,656	15,3
2,653	15,3
2,651	15,3
2,648	15,3
2,645	15,3
2,643	15,3
2,640	15,3
2,637	15,3
2,635	15,3
2,632	15,3
2,629	15,3
2,627	15,3
2,624	15,3
2,621	15,3
2,619	15,3
2,616	15,3
2,613	15,3
2,610	15,3
2,608	15,3
2,605	15,3
2,602	15,3
2,600	15,3
2,597	15,3
2,594	15,3
2,592	15,3
2,589	15,3
2,586	15,3
2,584	15,3
2,581	15,3
2,578	15,3
2,576	15,3
2,573	15,3
2,570	15,3
2,568	15,3
2,565	15,3
2,562	15,3
2,560	15,3
2,557	15,3
2,554	15,3
2,552	15,3
2,549	15,3
2,546	15,3
2,544	15,3
2,541	15,3
2,538	15,3
2,536	15,3
2,533	15,3
2,530	15,3
2,528	15,3
2,525	15,3
2,522	15,3
2,520	15,3
2,517	15,3
2,514	15,3
2,512	15,3
2,509	15,3
2,506	15,3
2,504	15,3
2,501	15,3
2,498	15,3
2,496	15,3
2,493	15,3
2,490	15,3
2,488	15,3
2,485	15,3
2,482	15,3
2,480	15,3
2,477	15,3
2,474	15,3
2,472	15,3
2,469	15,3
2,466	15,3
2,464	15,3
2,461	15,3
2,458	15,3
2,456	15,3
2,453	15,3
2,450	15,3
2,448	15,3
2,445	15,3
2,442	15,3
2,440	15,3
2,437	15,3
2,434	15,3
2,432	15,3
2,429	15,3
2,426	15,3
2,424	15,3
2,421	15,3
2,418	15,3
2,416	15,3
2,413	15,3
2,410	15,3
2,408	15,3
2,405	15,3
2,402	15,3
2,400	15,3
2,397	15,3
2,394	15,3
2,392	15,3
2,389	15,3
2,386	15,3
2,384	15,3
2,381	15,3
2,378	15,3
2,376	15,3
2,373	15,3
2,370	15,3
2,368	15,3
2,365	15,2
2,362	15,2
2,360	15,3
2,357	15,2
2,354	15,3
2,352	15,3
2,349	15,3
2,346	15,3
2,344	15,3
2,341	15,3
2,338	15,3
2,336	15,3
2,333	15,3
2,330	15,3
2,328	15,2
2,325	15,2
2,322	15,3
2,320	15,2
2,317	15,2
2,314	15,2
2,312	15,3
2,309	15,2
2,306	15,2
2,304	15,2
2,301	15,2
2,298	15,3
2,296	15,3
2,293	15,3
2,290	15,3
2,288	15,3
2,285	15,3
2,282	15,3
2,280	15,3
2,277	15,3
2,274	15,3
2,272	15,3
2,269	15,3
2,266	15,3
2,264	15,3
2,261	15,3
2,258	15,3
2,256	15,3
2,253	15,3
2,250	15,3
2,248	15,3
2,245	15,3
2,242	15,3
2,240	15,3
2,237	15,3
2,234	15,3
2,231	15,3
2,229	15,3
2,226	15,3
2,223	15,3
2,221	15,3
2,218	15,3
2,215	15,3
2,213	15,3
2,210	15,3
2,207	15,3
2,205	15,3
2,202	15,3
2,199	15,3
2,197	15,3
2,194	15,3
2,191	15,3
2,189	15,3
2,186	15,3
2,183	15,3
2,181	15,3
2,178	15,3
2,175	15,3
2,173	15,3
2,170	15,3
2,167	15,3
2,165	15,3
2,162	15,3
2,159	15,3
2,157	15,3
2,154	15,3
2,151	15,3
2,149	15,3
2,146	15,3
2,143	15,3
2,141	15,3
2,138	15,3
2,135	15,3
2,133	15,3
2,130	15,3
2,127	15,3
2,125	15,3
2,122	15,3
2,119	15,3
2,117	15,3
2,114	15,3
2,111	15,3
2,109	15,3
2,106	15,3
2,103	15,3
2,101	15,3
2,098	15,3
2,095	15,3
2,093	15,3
2,090	15,3
2,087	15,3
2,085	15,3
2,082	15,3
2,079	15,3
2,077	15,3
2,074	15,3
2,071	15,3
2,069	15,3
2,066	15,3
2,063	15,3
2,061	15,3
2,058	15,3
2,055	15,3
2,053	15,3
2,050	15,3
2,047	15,3
2,045	15,3
2,042	15,3
2,039	15,3
2,037	15,3
2,034	15,3
2,031	15,3
2,029	15,3
2,026	15,3
2,023	15,3
2,021	15,3
2,018	15,3
2,015	15,3
2,013	15,3
2,010	15,3
2,007	15,3
2,005	15,3
2,002	15,3
1,999	15,3
1,997	15,3
1,994	15,3
1,991	15,3
1,989	15,3
1,986	15,3
1,983	15,3
1,980	15,3
1,978	15,3
1,975	15,3
1,972	15,3
1,970	15,3
1,967	15,3
1,964	15,3
1,962	15,3
1,959	15,3
1,956	15,3
1,954	15,3
1,951	15,3
1,948	15,3
1,946	15,3
1,943	15,3
1,940	15,3
1,938	15,3
1,935	15,3
1,932	15,3
1,930	15,3
1,927	15,3
1,924	15,3
1,922	15,3
1,919	15,3
1,916	15,3
1,914	15,3
1,911	15,3
1,908	15,3
1,906	15,3
1,903	15,3
1,900	15,3
1,898	15,3
1,895	15,3
1,892	15,3
1,890	15,3
1,887	15,3
1,884	15,3
1,882	15,3
1,879	15,3
1,876	15,3
1,874	15,3
1,871	15,3
1,868	15,3
1,866	15,3
1,863	15,3
1,860	15,3
1,858	15,3
1,855	15,3
1,852	15,3
1,850	15,3
1,847	15,3
1,844	15,3
1,842	15,3
1,839	15,3
1,836	15,3
1,834	15,3
1,831	15,3
1,828	15,3
1,826	15,3
1,823	15,3
1,820	15,3
1,818	15,3
1,815	15,3
1,812	15,3
1,810	15,3
1,807	15,3
1,804	15,3
1,802	15,3
1,799	15,3
1,796	15,3
1,794	15,3
1,791	15,3
1,788	15,3
1,786	15,3
1,783	15,3
1,780	15,3
1,778	15,3
1,775	15,3
1,772	15,3
1,769	15,3
1,767	15,3
1,764	15,3
1,761	15,3
1,759	15,3
1,756	15,3
1,753	15,3
1,751	15,3
1,748	15,3
1,745	15,3
1,743	15,3
1,740	15,3
1,737	15,3
1,735	15,3
1,732	15,3
1,729	15,3
1,727	15,3
1,724	15,3
1,721	15,3
1,719	15,3
1,716	15,3
1,713	15,3
1,711	15,3
1,708	15,3
1,705	15,3
1,703	15,3
1,700	15,3
1,697	15,3
1,695	15,3
1,692	15,3
1,689	15,4
1,687	15,4
1,684	15,4
1,681	15,4
1,679	15,4
1,676	15,4
1,673	15,4
1,671	15,4
1,668	15,4
1,665	15,4
1,663	15,4
1,660	15,4
1,657	15,4
1,655	15,4
1,652	15,4
1,649	15,4
1,647	15,4
1,644	15,4
1,641	15,4
1,639	15,4
1,636	15,4
1,633	15,4
1,631	15,4
1,628	15,4
1,625	15,4
1,623	15,4
1,620	15,4
1,617	15,4
1,615	15,4
1,612	15,4
1,609	15,4
1,607	15,4
1,604	15,4
1,601	15,4
1,599	15,4
1,596	15,4
1,593	15,4
1,591	15,4
1,588	15,4
1,585	15,4
1,582	15,4
1,580	15,4
1,577	15,4
1,574	15,4
1,572	15,4
1,569	15,4
1,566	15,4
1,564	15,4
1,561	15,4
1,558	15,4
1,556	15,5
1,553	15,5
1,550	15,5
1,548	15,5
1,545	15,5
1,542	15,5
1,540	15,5
1,537	15,5
1,534	15,5
1,532	15,5
1,529	15,5
1,526	15,5
1,524	15,5
1,521	15,5
1,518	15,5
1,516	15,5
1,513	15,5
1,510	15,5
1,508	15,5
1,505	15,5
1,502	15,5
1,500	15,5
1,497	15,5
1,494	15,5
1,492	15,5
1,489	15,5
1,486	15,6
1,484	15,6
1,481	15,6
1,478	15,6
1,476	15,6
1,473	15,6
1,470	15,6
1,468	15,6
1,465	15,6
1,462	15,6
1,460	15,6
1,457	15,6
1,454	15,6
1,452	15,6
1,449	15,6
1,446	15,6
1,444	15,6
1,441	15,7
1,438	15,6
1,436	15,6
1,433	15,6
1,430	15,6
1,428	15,6
1,425	15,6
1,422	15,6
1,419	15,6
1,417	15,6
1,414	15,6
1,411	15,6
1,409	15,6
1,406	15,6
1,403	15,6
1,401	15,6
1,398	15,6
1,395	15,6
1,393	15,6
1,390	15,6
1,387	15,6
1,385	15,6
1,382	15,6
1,379	15,6
1,377	15,6
1,374	15,6
1,371	15,6
1,369	15,6
1,366	15,6
1,363	15,6
1,361	15,6
1,358	15,6
1,355	15,6
1,353	15,6
1,350	15,6
1,347	15,6
1,345	15,6
1,342	15,6
1,339	15,6
1,337	15,6
