&a / °	I1 / %
2,736	14,2
2,733	14,2
2,731	14,1
2,728	14,1
2,725	14,1
2,723	14,1
2,720	14,1
2,717	14,1
2,715	14,1
2,712	14,1
2,709	14,1
2,707	14,1
2,704	14,1
2,701	14,1
2,699	14,1
2,696	14,1
2,693	14,1
2,691	14,1
2,688	14,1
2,685	14,1
2,683	14,1
2,680	14,1
2,677	14,1
2,675	14,1
2,672	14,1
2,669	14,1
2,667	14,1
2,664	14,0
2,661	14,0
2,659	14,0
2,656	14,1
2,653	14,0
2,651	14,0
2,648	14,0
2,645	14,0
2,643	14,0
2,640	14,0
2,637	14,0
2,635	14,0
2,632	14,0
2,629	14,0
2,627	14,0
2,624	14,0
2,621	14,0
2,619	14,0
2,616	14,0
2,613	14,0
2,610	14,0
2,608	14,0
2,605	14,0
2,602	14,0
2,600	14,0
2,597	14,0
2,594	14,0
2,592	14,0
2,589	14,0
2,586	14,0
2,584	14,0
2,581	14,0
2,578	14,0
2,576	14,0
2,573	14,0
2,570	14,0
2,568	14,0
2,565	14,0
2,562	14,0
2,560	14,0
2,557	14,0
2,554	14,0
2,552	14,0
2,549	14,0
2,546	14,0
2,544	14,0
2,541	14,0
2,538	14,0
2,536	14,0
2,533	14,0
2,530	14,0
2,528	14,0
2,525	14,0
2,522	14,0
2,520	14,0
2,517	14,0
2,514	14,0
2,512	14,0
2,509	14,0
2,506	14,0
2,504	14,0
2,501	14,0
2,498	14,0
2,496	14,0
2,493	14,0
2,490	14,0
2,488	14,0
2,485	14,0
2,482	14,0
2,480	14,0
2,477	14,0
2,474	14,0
2,472	14,0
2,469	14,0
2,466	14,0
2,464	14,0
2,461	14,0
2,458	14,0
2,456	14,0
2,453	14,0
2,450	14,0
2,448	14,0
2,445	14,0
2,442	14,0
2,440	14,0
2,437	14,0
2,434	14,0
2,432	14,0
2,429	14,0
2,426	14,0
2,424	14,0
2,421	14,0
2,418	14,0
2,416	14,0
2,413	14,0
2,410	14,0
2,408	14,0
2,405	14,0
2,402	14,0
2,400	14,0
2,397	14,0
2,394	14,0
2,392	14,0
2,389	14,0
2,386	14,0
2,384	14,0
2,381	14,0
2,378	14,0
2,376	14,0
2,373	14,0
2,370	14,0
2,368	14,0
2,365	14,0
2,362	14,0
2,360	14,0
2,357	14,0
2,354	14,0
2,352	14,0
2,349	14,0
2,346	14,0
2,344	14,0
2,341	14,0
2,338	14,0
2,336	14,0
2,333	14,0
2,330	14,0
2,328	14,0
2,325	14,0
2,322	14,0
2,320	14,0
2,317	14,0
2,314	14,0
2,312	14,0
2,309	14,0
2,306	14,0
2,304	14,0
2,301	14,0
2,298	14,0
2,296	14,1
2,293	14,1
2,290	14,1
2,288	14,1
2,285	14,1
2,282	14,1
2,280	14,1
2,277	14,1
2,274	14,1
2,272	14,1
2,269	14,1
2,266	14,1
2,264	14,1
2,261	14,1
2,258	14,1
2,256	14,1
2,253	14,1
2,250	14,1
2,248	14,1
2,245	14,1
2,242	14,1
2,240	14,1
2,237	14,1
2,234	14,1
2,231	14,1
2,229	14,1
2,226	14,1
2,223	14,1
2,221	14,1
2,218	14,1
2,215	14,1
2,213	14,1
2,210	14,1
2,207	14,2
2,205	14,1
2,202	14,1
2,199	14,1
2,197	14,1
2,194	14,1
2,191	14,1
2,189	14,2
2,186	14,1
2,183	14,1
2,181	14,2
2,178	14,2
2,175	14,2
2,173	14,1
2,170	14,1
2,167	14,1
2,165	14,1
2,162	14,1
2,159	14,1
2,157	14,1
2,154	14,1
2,151	14,1
2,149	14,1
2,146	14,2
2,143	14,2
2,141	14,2
2,138	14,2
2,135	14,2
2,133	14,2
2,130	14,2
2,127	14,2
2,125	14,2
2,122	14,2
2,119	14,2
2,117	14,2
2,114	14,2
2,111	14,2
2,109	14,2
2,106	14,2
2,103	14,2
2,101	14,2
2,098	14,2
2,095	14,2
2,093	14,2
2,090	14,2
2,087	14,2
2,085	14,2
2,082	14,2
2,079	14,2
2,077	14,2
2,074	14,2
2,071	14,2
2,069	14,2
2,066	14,2
2,063	14,2
2,061	14,2
2,058	14,2
2,055	14,2
2,053	14,2
2,050	14,2
2,047	14,2
2,045	14,2
2,042	14,2
2,039	14,2
2,037	14,2
2,034	14,2
2,031	14,2
2,029	14,2
2,026	14,2
2,023	14,2
2,021	14,2
2,018	14,2
2,015	14,2
2,013	14,2
2,010	14,2
2,007	14,2
2,005	14,2
2,002	14,2
1,999	14,2
1,997	14,2
1,994	14,2
1,991	14,2
1,989	14,2
1,986	14,2
1,983	14,2
1,980	14,2
1,978	14,2
1,975	14,2
1,972	14,2
1,970	14,2
1,967	14,2
1,964	14,2
1,962	14,2
1,959	14,2
1,956	14,2
1,954	14,2
1,951	14,3
1,948	14,2
1,946	14,2
1,943	14,3
1,940	14,3
1,938	14,2
1,935	14,2
1,932	14,2
1,930	14,3
1,927	14,3
1,924	14,3
1,922	14,3
1,919	14,3
1,916	14,3
1,914	14,3
1,911	14,3
1,908	14,3
1,906	14,3
1,903	14,3
1,900	14,3
1,898	14,3
1,895	14,3
1,892	14,3
1,890	14,3
1,887	14,3
1,884	14,3
1,882	14,3
1,879	14,3
1,876	14,3
1,874	14,3
1,871	14,3
1,868	14,3
1,866	14,3
1,863	14,3
1,860	14,3
1,858	14,3
1,855	14,3
1,852	14,3
1,850	14,3
1,847	14,3
1,844	14,3
1,842	14,3
1,839	14,3
1,836	14,3
1,834	14,3
1,831	14,3
1,828	14,3
1,826	14,3
1,823	14,3
1,820	14,3
1,818	14,3
1,815	14,3
1,812	14,3
1,810	14,3
1,807	14,3
1,804	14,3
1,802	14,3
1,799	14,3
1,796	14,3
1,794	14,2
1,791	14,3
1,788	14,3
1,786	14,3
1,783	14,3
1,780	14,3
1,778	14,3
1,775	14,3
1,772	14,3
1,769	14,3
1,767	14,3
1,764	14,3
1,761	14,3
1,759	14,3
1,756	14,3
1,753	14,3
1,751	14,3
1,748	14,3
1,745	14,3
1,743	14,3
1,740	14,3
1,737	14,3
1,735	14,3
1,732	14,3
1,729	14,3
1,727	14,3
1,724	14,3
1,721	14,3
1,719	14,3
1,716	14,3
1,713	14,3
1,711	14,3
1,708	14,3
1,705	14,3
1,703	14,3
1,700	14,3
1,697	14,3
1,695	14,3
1,692	14,3
1,689	14,3
1,687	14,3
1,684	14,4
1,681	14,4
1,679	14,4
1,676	14,4
1,673	14,4
1,671	14,4
1,668	14,4
1,665	14,4
1,663	14,4
1,660	14,4
1,657	14,4
1,655	14,4
1,652	14,4
1,649	14,4
1,647	14,4
1,644	14,4
1,641	14,4
1,639	14,4
1,636	14,4
1,633	14,4
1,631	14,4
1,628	14,4
1,625	14,4
1,623	14,4
1,620	14,4
1,617	14,4
1,615	14,4
1,612	14,4
1,609	14,4
1,607	14,4
1,604	14,4
1,601	14,4
1,599	14,4
1,596	14,4
1,593	14,4
1,591	14,4
1,588	14,4
1,585	14,4
1,582	14,4
1,580	14,4
1,577	14,4
1,574	14,4
1,572	14,4
1,569	14,4
1,566	14,4
1,564	14,4
1,561	14,4
1,558	14,4
1,556	14,4
1,553	14,4
1,550	14,4
1,548	14,4
1,545	14,4
1,542	14,4
1,540	14,4
1,537	14,4
1,534	14,4
1,532	14,4
1,529	14,4
1,526	14,4
1,524	14,4
1,521	14,4
1,518	14,5
1,516	14,5
1,513	14,5
1,510	14,5
1,508	14,5
1,505	14,5
1,502	14,5
1,500	14,5
1,497	14,5
1,494	14,5
1,492	14,5
1,489	14,5
1,486	14,5
1,484	14,5
1,481	14,5
1,478	14,5
1,476	14,5
1,473	14,5
1,470	14,5
1,468	14,5
1,465	14,5
1,462	14,5
1,460	14,5
1,457	14,6
1,454	14,6
1,452	14,6
1,449	14,6
1,446	14,6
1,444	14,6
1,441	14,6
1,438	14,6
1,436	14,6
1,433	14,6
1,430	14,6
1,428	14,6
1,425	14,6
1,422	14,6
1,419	14,6
1,417	14,6
1,414	14,6
1,411	14,5
1,409	14,5
1,406	14,5
1,403	14,6
1,401	14,5
1,398	14,5
1,395	14,5
1,393	14,6
1,390	14,6
1,387	14,6
1,385	14,6
1,382	14,6
1,379	14,6
1,377	14,6
1,374	14,6
1,371	14,6
1,369	14,6
1,366	14,6
1,363	14,6
1,361	14,6
1,358	14,6
1,355	14,6
1,353	14,6
1,350	14,6
1,347	14,6
1,345	14,6
1,342	14,6
1,339	14,6
1,337	14,6
1,334	14,6
1,331	14,6
1,329	14,6
1,326	14,6
1,323	14,6
1,321	14,6
1,318	14,6
1,315	14,6
1,313	14,6
1,310	14,6
1,307	14,6
1,305	14,6
1,302	14,6
1,299	14,6
1,297	14,6
1,294	14,6
1,291	14,6
1,289	14,6
1,286	14,6
1,283	14,6
1,281	14,6
1,278	14,6
1,275	14,6
1,273	14,6
1,270	14,6
1,267	14,6
1,265	14,6
1,262	14,6
1,259	14,7
1,256	14,6
1,254	14,7
1,251	14,7
1,248	14,7
1,246	14,6
1,243	14,7
1,240	14,7
1,238	14,7
1,235	14,7
1,232	14,7
1,230	14,6
1,227	14,6
1,224	14,6
1,222	14,7
1,219	14,7
1,216	14,6
1,214	14,7
1,211	14,7
1,208	14,7
1,206	14,7
1,203	14,7
1,200	14,7
1,198	14,6
1,195	14,7
1,192	14,7
1,190	14,6
1,187	14,6
1,184	14,7
1,182	14,7
1,179	14,7
1,176	14,7
1,174	14,7
1,171	14,7
1,168	14,7
1,166	14,7
1,163	14,7
1,160	14,7
1,158	14,7
1,155	14,7
1,152	14,7
1,150	14,7
1,147	14,7
1,144	14,7
1,142	14,7
1,139	14,7
1,136	14,7
1,134	14,7
1,131	14,7
1,128	14,7
1,126	14,7
1,123	14,7
1,120	14,7
1,118	14,7
1,115	14,7
1,112	14,7
1,109	14,7
1,107	14,7
1,104	14,7
1,101	14,7
1,099	14,7
1,096	14,7
1,093	14,7
1,091	14,7
1,088	14,7
1,085	14,7
1,083	14,7
1,080	14,7
1,077	14,7
1,075	14,7
1,072	14,7
1,069	14,7
1,067	14,7
