&a / °	I1 / %
2,736	14,9
2,733	15,0
2,731	14,9
2,728	14,9
2,725	14,9
2,723	14,9
2,720	14,9
2,717	14,9
2,715	14,9
2,712	14,9
2,709	14,9
2,707	14,9
2,704	14,9
2,701	14,9
2,699	14,8
2,696	14,8
2,693	14,8
2,691	14,8
2,688	14,8
2,685	14,8
2,683	14,8
2,680	14,8
2,677	14,8
2,675	14,9
2,672	14,8
2,669	14,8
2,667	14,9
2,664	14,9
2,661	14,8
2,659	14,8
2,656	14,8
2,653	14,8
2,651	14,8
2,648	14,8
2,645	14,8
2,643	14,8
2,640	14,8
2,637	14,8
2,635	14,8
2,632	14,8
2,629	14,8
2,627	14,8
2,624	14,8
2,621	14,8
2,619	14,8
2,616	14,8
2,613	14,8
2,610	14,8
2,608	14,8
2,605	14,8
2,602	14,8
2,600	14,8
2,597	14,8
2,594	14,8
2,592	14,8
2,589	14,8
2,586	14,8
2,584	14,8
2,581	14,8
2,578	14,9
2,576	14,8
2,573	14,8
2,570	14,8
2,568	14,8
2,565	14,8
2,562	14,8
2,560	14,8
2,557	14,8
2,554	14,8
2,552	14,8
2,549	14,8
2,546	14,7
2,544	14,7
2,541	14,8
2,538	14,7
2,536	14,7
2,533	14,8
2,530	14,8
2,528	14,8
2,525	14,8
2,522	14,8
2,520	14,8
2,517	14,8
2,514	14,8
2,512	14,9
2,509	14,9
2,506	14,9
2,504	14,9
2,501	14,9
2,498	14,9
2,496	14,9
2,493	14,9
2,490	14,9
2,488	14,9
2,485	14,9
2,482	14,9
2,480	14,9
2,477	14,9
2,474	14,9
2,472	14,9
2,469	14,9
2,466	14,9
2,464	14,9
2,461	14,9
2,458	14,9
2,456	14,9
2,453	14,9
2,450	14,9
2,448	14,9
2,445	14,9
2,442	14,9
2,440	14,9
2,437	14,9
2,434	14,9
2,432	14,9
2,429	14,9
2,426	14,9
2,424	14,9
2,421	14,9
2,418	14,9
2,416	14,9
2,413	14,9
2,410	14,9
2,408	14,9
2,405	14,9
2,402	14,9
2,400	14,9
2,397	14,9
2,394	14,9
2,392	14,9
2,389	14,9
2,386	14,9
2,384	14,9
2,381	14,9
2,378	14,9
2,376	14,9
2,373	14,9
2,370	14,9
2,368	14,9
2,365	14,8
2,362	14,8
2,360	14,8
2,357	14,8
2,354	14,8
2,352	14,8
2,349	14,8
2,346	14,8
2,344	14,8
2,341	14,8
2,338	14,8
2,336	14,8
2,333	14,8
2,330	14,8
2,328	14,8
2,325	14,8
2,322	14,8
2,320	14,8
2,317	14,8
2,314	14,8
2,312	14,8
2,309	14,8
2,306	14,8
2,304	14,8
2,301	14,9
2,298	14,9
2,296	14,9
2,293	14,9
2,290	14,9
2,288	14,9
2,285	14,9
2,282	14,9
2,280	14,9
2,277	14,9
2,274	14,9
2,272	14,9
2,269	14,9
2,266	14,9
2,264	14,9
2,261	14,9
2,258	14,9
2,256	14,9
2,253	14,9
2,250	14,9
2,248	14,9
2,245	14,9
2,242	14,9
2,240	14,9
2,237	14,9
2,234	14,9
2,231	14,9
2,229	14,9
2,226	14,9
2,223	14,9
2,221	14,9
2,218	14,9
2,215	14,9
2,213	14,9
2,210	14,9
2,207	14,9
2,205	14,9
2,202	14,9
2,199	14,9
2,197	14,9
2,194	14,9
2,191	14,9
2,189	14,9
2,186	14,9
2,183	14,9
2,181	14,9
2,178	15,0
2,175	14,9
2,173	14,9
2,170	14,9
2,167	14,9
2,165	14,9
2,162	14,9
2,159	14,9
2,157	14,9
2,154	14,9
2,151	14,9
2,149	14,9
2,146	14,9
2,143	15,0
2,141	15,0
2,138	15,0
2,135	15,0
2,133	15,0
2,130	15,0
2,127	15,0
2,125	15,0
2,122	15,0
2,119	15,0
2,117	15,0
2,114	15,0
2,111	15,0
2,109	15,0
2,106	15,0
2,103	15,0
2,101	15,0
2,098	15,0
2,095	15,0
2,093	15,0
2,090	15,0
2,087	15,0
2,085	15,0
2,082	15,0
2,079	15,0
2,077	15,0
2,074	15,0
2,071	15,0
2,069	15,0
2,066	15,0
2,063	15,0
2,061	15,0
2,058	15,0
2,055	15,0
2,053	15,0
2,050	15,0
2,047	15,0
2,045	15,0
2,042	15,0
2,039	15,0
