Rabi,Frequenz,MHz,21,16158,,,,
A_len,Envelope,error,I,error
0.5,2.9,0.25,0.59,0.03
1,5.9,0.25,0.92,0.03
1.5,8.1,0.25,1.27,0.03
2,9.38,0.25,1.47,0.03
2.5,9.88,0.25,1.55,0.03
3,9.65,0.25,1.52,0.03
3.5,8.67,0.25,1.36,0.03
4,7.2,0.25,1.12,0.03
4.5,5.19,0.25,0.8,0.03
5,3.05,0.25,0.6,0.03
5.5,1.06,0.25,0.23,0.03
6,2.9,0.25,0.63,0.03
6.5,5.16,0.25,0.77,0.03
7,7.13,0.25,1.07,0.03
7.5,8.5,0.25,1.29,0.03
8,9.3,0.25,1.42,0.03
8.5,9.47,0.25,1.44,0.03
9,8.91,0.25,1.35,0.03
9.5,7.96,0.25,1.16,0.03
10,5.75,0.25,0.84,0.03
10.5,3.4,0.25,0.44,0.03
11,0.98,0.25,0.2,0.03
11.5,2.94,0.25,0.64,0.03
12,5.44,0.25,0.83,0.03
